routeId,weather_start,weather_category,total_alerts
Q,2019-02-25 09:00:00+00:00,Clear,1
Q,2019-02-25 16:00:00+00:00,Cloudy/Other,1
Q,2019-08-13 06:00:00+00:00,Rain,1
Q22,2013-01-22 10:00:00+00:00,Clear,1
R,2013-03-01 05:00:00+00:00,Clear,1
R,2013-03-20 05:00:00+00:00,Clear,1
R,2013-03-25 05:00:00+00:00,Cloudy/Other,1
R,2013-03-28 05:00:00+00:00,Clear,1
R,2016-01-23 16:00:00+00:00,Snow,2
R,2016-02-08 12:00:00+00:00,Cloudy/Other,1
R,2016-09-03 13:00:00+00:00,Cloudy/Other,1
R,2017-02-09 09:00:00+00:00,Snow,2
R,2017-03-14 02:00:00+00:00,Cloudy/Other,2
R,2018-01-03 20:00:00+00:00,Clear,2
R,2018-01-04 12:00:00+00:00,Snow,1
R,2018-01-05 10:00:00+00:00,Clear,1
R,2019-02-10 00:00:00+00:00,Clear,1
R,2019-02-12 10:00:00+00:00,Rain,1
R,2019-12-02 08:00:00+00:00,Rain,1
Rockaway Shuttle,2014-02-13 20:00:00+00:00,Snow,1
Rockaway Shuttle,2016-01-23 11:00:00+00:00,Snow,1
Rockaway Shuttle,2016-02-05 08:00:00+00:00,Snow,1
Rockaway Shuttle,2016-02-08 12:00:00+00:00,Cloudy/Other,1
Rockaway Shuttle,2017-02-09 09:00:00+00:00,Snow,2
Rockaway Shuttle,2017-03-14 02:00:00+00:00,Cloudy/Other,2
Rockaway Shuttle,2018-01-04 12:00:00+00:00,Snow,1
Rockaway Shuttle,2019-02-12 10:00:00+00:00,Rain,1
